INC 0.3 | DOCTRINES AAA | HOLD 1 | guerres 40821 | décisives 0.94 | winrate(déc) A0=0.334 A1=0.334 A2=0.333 | 2COLL 0.94 (durée 14.2) | ÉLIM 0.00 (durée 14.5) | vainq terr 0.45 | CIVILS morts 0.294 réfug 0.61 surv 0.706 | vainq ctrl pop 0.57
INC 0.6 | DOCTRINES AAA | HOLD 1 | guerres 36850 | décisives 0.90 | winrate(déc) A0=0.331 A1=0.339 A2=0.330 | 2COLL 0.90 (durée 12.6) | ÉLIM 0.00 (durée 11.6) | vainq terr 0.46 | CIVILS morts 0.269 réfug 0.69 surv 0.731 | vainq ctrl pop 0.56
INC 0.9 | DOCTRINES AAA | HOLD 1 | guerres 36116 | décisives 0.85 | winrate(déc) A0=0.330 A1=0.339 A2=0.331 | 2COLL 0.85 (durée 9.2) | ÉLIM 0.00 (durée 29.0) | vainq terr 0.45 | CIVILS morts 0.229 réfug 0.66 surv 0.771 | vainq ctrl pop 0.56
INC 0.3 | DOCTRINES AAA | HOLD 3 | guerres 28872 | décisives 0.88 | winrate(déc) A0=0.338 A1=0.333 A2=0.329 | 2COLL 0.84 (durée 17.2) | ÉLIM 0.04 (durée 19.0) | vainq terr 0.55 | CIVILS morts 0.359 réfug 0.69 surv 0.641 | vainq ctrl pop 0.57
INC 0.6 | DOCTRINES AAA | HOLD 3 | guerres 23123 | décisives 0.79 | winrate(déc) A0=0.333 A1=0.338 A2=0.328 | 2COLL 0.73 (durée 16.8) | ÉLIM 0.06 (durée 21.6) | vainq terr 0.55 | CIVILS morts 0.350 réfug 0.82 surv 0.650 | vainq ctrl pop 0.56
INC 0.9 | DOCTRINES AAA | HOLD 3 | guerres 23658 | décisives 0.76 | winrate(déc) A0=0.328 A1=0.339 A2=0.334 | 2COLL 0.55 (durée 14.2) | ÉLIM 0.21 (durée 11.9) | vainq terr 0.55 | CIVILS morts 0.331 réfug 0.82 surv 0.669 | vainq ctrl pop 0.59
INC 0.3 | DOCTRINES AAA | HOLD 5 | guerres 22242 | décisives 0.79 | winrate(déc) A0=0.338 A1=0.334 A2=0.329 | 2COLL 0.72 (durée 19.5) | ÉLIM 0.08 (durée 19.8) | vainq terr 0.60 | CIVILS morts 0.381 réfug 0.73 surv 0.619 | vainq ctrl pop 0.59
INC 0.6 | DOCTRINES AAA | HOLD 5 | guerres 18041 | décisives 0.68 | winrate(déc) A0=0.333 A1=0.338 A2=0.329 | 2COLL 0.58 (durée 18.7) | ÉLIM 0.09 (durée 20.8) | vainq terr 0.58 | CIVILS morts 0.366 réfug 0.85 surv 0.634 | vainq ctrl pop 0.58
INC 0.9 | DOCTRINES AAA | HOLD 5 | guerres 20066 | décisives 0.69 | winrate(déc) A0=0.330 A1=0.337 A2=0.334 | 2COLL 0.41 (durée 16.6) | ÉLIM 0.28 (durée 12.4) | vainq terr 0.56 | CIVILS morts 0.345 réfug 0.86 surv 0.655 | vainq ctrl pop 0.60
INC 0.3 | DOCTRINES AAA | HOLD 10 | guerres 19108 | décisives 0.76 | winrate(déc) A0=0.340 A1=0.334 A2=0.326 | 2COLL 0.50 (durée 24.6) | ÉLIM 0.27 (durée 21.5) | vainq terr 0.62 | CIVILS morts 0.400 réfug 0.77 surv 0.600 | vainq ctrl pop 0.66
INC 0.6 | DOCTRINES AAA | HOLD 10 | guerres 16268 | décisives 0.65 | winrate(déc) A0=0.334 A1=0.340 A2=0.326 | 2COLL 0.33 (durée 23.7) | ÉLIM 0.32 (durée 21.5) | vainq terr 0.60 | CIVILS morts 0.387 réfug 0.89 surv 0.613 | vainq ctrl pop 0.65
INC 0.9 | DOCTRINES AAA | HOLD 10 | guerres 18245 | décisives 0.67 | winrate(déc) A0=0.330 A1=0.337 A2=0.334 | 2COLL 0.26 (durée 22.0) | ÉLIM 0.41 (durée 14.3) | vainq terr 0.57 | CIVILS morts 0.358 réfug 0.88 surv 0.642 | vainq ctrl pop 0.65
INC 0.3 | DOCTRINES EEE | HOLD 1 | guerres 21117 | décisives 0.77 | winrate(déc) E0=0.334 E1=0.331 E2=0.334 | 2COLL 0.77 (durée 19.7) | ÉLIM 0.00 (durée 0.0) | vainq terr 0.41 | CIVILS morts 0.162 réfug 0.59 surv 0.838 | vainq ctrl pop 0.54
INC 0.6 | DOCTRINES EEE | HOLD 1 | guerres 19473 | décisives 0.69 | winrate(déc) E0=0.330 E1=0.332 E2=0.339 | 2COLL 0.69 (durée 16.1) | ÉLIM 0.00 (durée 0.0) | vainq terr 0.41 | CIVILS morts 0.141 réfug 0.62 surv 0.859 | vainq ctrl pop 0.52
INC 0.9 | DOCTRINES EEE | HOLD 1 | guerres 16677 | décisives 0.58 | winrate(déc) E0=0.337 E1=0.330 E2=0.333 | 2COLL 0.58 (durée 14.7) | ÉLIM 0.00 (durée 0.0) | vainq terr 0.39 | CIVILS morts 0.116 réfug 0.58 surv 0.884 | vainq ctrl pop 0.49
INC 0.3 | DOCTRINES EEE | HOLD 3 | guerres 17848 | décisives 0.71 | winrate(déc) E0=0.332 E1=0.333 E2=0.335 | 2COLL 0.66 (durée 22.4) | ÉLIM 0.05 (durée 25.4) | vainq terr 0.56 | CIVILS morts 0.200 réfug 0.65 surv 0.800 | vainq ctrl pop 0.55
INC 0.6 | DOCTRINES EEE | HOLD 3 | guerres 16690 | décisives 0.63 | winrate(déc) E0=0.326 E1=0.335 E2=0.339 | 2COLL 0.58 (durée 18.7) | ÉLIM 0.05 (durée 23.1) | vainq terr 0.54 | CIVILS morts 0.169 réfug 0.67 surv 0.831 | vainq ctrl pop 0.55
INC 0.9 | DOCTRINES EEE | HOLD 3 | guerres 14267 | décisives 0.50 | winrate(déc) E0=0.336 E1=0.332 E2=0.332 | 2COLL 0.44 (durée 17.4) | ÉLIM 0.06 (durée 20.7) | vainq terr 0.50 | CIVILS morts 0.148 réfug 0.64 surv 0.852 | vainq ctrl pop 0.51
INC 0.3 | DOCTRINES EEE | HOLD 5 | guerres 16478 | décisives 0.69 | winrate(déc) E0=0.331 E1=0.332 E2=0.337 | 2COLL 0.52 (durée 24.6) | ÉLIM 0.17 (durée 25.7) | vainq terr 0.59 | CIVILS morts 0.220 réfug 0.69 surv 0.780 | vainq ctrl pop 0.61
INC 0.6 | DOCTRINES EEE | HOLD 5 | guerres 15768 | décisives 0.61 | winrate(déc) E0=0.323 E1=0.338 E2=0.339 | 2COLL 0.44 (durée 20.1) | ÉLIM 0.17 (durée 23.2) | vainq terr 0.58 | CIVILS morts 0.183 réfug 0.70 surv 0.817 | vainq ctrl pop 0.59
INC 0.9 | DOCTRINES EEE | HOLD 5 | guerres 13528 | décisives 0.47 | winrate(déc) E0=0.337 E1=0.333 E2=0.331 | 2COLL 0.31 (durée 18.8) | ÉLIM 0.17 (durée 21.2) | vainq terr 0.52 | CIVILS morts 0.163 réfug 0.67 surv 0.837 | vainq ctrl pop 0.55
INC 0.3 | DOCTRINES EEE | HOLD 10 | guerres 15711 | décisives 0.68 | winrate(déc) E0=0.328 E1=0.335 E2=0.337 | 2COLL 0.24 (durée 31.6) | ÉLIM 0.44 (durée 25.1) | vainq terr 0.62 | CIVILS morts 0.238 réfug 0.73 surv 0.762 | vainq ctrl pop 0.70
INC 0.6 | DOCTRINES EEE | HOLD 10 | guerres 15123 | décisives 0.60 | winrate(déc) E0=0.324 E1=0.340 E2=0.336 | 2COLL 0.14 (durée 29.8) | ÉLIM 0.46 (durée 21.1) | vainq terr 0.60 | CIVILS morts 0.206 réfug 0.75 surv 0.794 | vainq ctrl pop 0.69
INC 0.9 | DOCTRINES EEE | HOLD 10 | guerres 13213 | décisives 0.47 | winrate(déc) E0=0.334 E1=0.334 E2=0.332 | 2COLL 0.08 (durée 28.8) | ÉLIM 0.39 (durée 19.9) | vainq terr 0.54 | CIVILS morts 0.180 réfug 0.69 surv 0.820 | vainq ctrl pop 0.61
INC 0.3 | DOCTRINES ZZZ | HOLD 1 | guerres 74318 | décisives 1.00 | winrate(déc) Z0=0.334 Z1=0.331 Z2=0.335 | 2COLL 1.00 (durée 10.7) | ÉLIM 0.00 (durée 13.0) | vainq terr 0.46 | CIVILS morts 0.224 réfug 0.47 surv 0.776 | vainq ctrl pop 0.57
INC 0.6 | DOCTRINES ZZZ | HOLD 1 | guerres 96063 | décisives 0.99 | winrate(déc) Z0=0.334 Z1=0.333 Z2=0.333 | 2COLL 0.97 (durée 7.6) | ÉLIM 0.02 (durée 8.8) | vainq terr 0.46 | CIVILS morts 0.184 réfug 0.44 surv 0.816 | vainq ctrl pop 0.57
